étape,stage,Nous avons franchi une étape importante dans notre voyage.
électricité,Electricity,L'électricité alimente la plupart des appareils dans notre foyer.
déborder,to overflow,Je déborde d'enthousiasme à l'idée de partir en vacances.
difficulté,difficulty,J'ai rencontré une difficulté à comprendre les instructions.
uns,some,"Parmi les invités, des uns ont apporté du vin tandis que d'autres se sont chargés du dessert."
vachement,really,Je trouve ce film vachement intéressant.
curé,Parish priest,Le curé a célébré la messe dimanche matin.
féliciter,to congratulate,Je félicite mon ami pour sa réussite.
panier,basket,J'ai mis les pommes dans le panier.
pouce,thumb,Il a levé le pouce pour montrer qu'il était d'accord.
caresser,to stroke,Je caresse mon chien après le dîner.
galerie,gallery,La galerie expose des œuvres d'art uniques.
temple,Temple,Le temple ancien de la ville attire de nombreux visiteurs.
tissu,fabric,Le tissu de cette robe est magnifique.
braquer,to aim,Je braque mon appareil photo sur le coucher de soleil.
population,population,La population mondiale croît chaque année.
température,temperature,La température de l'air est très basse aujourd'hui.
dominer,to dominate,Je domine le marché.
familial,family,Les valeurs familiales sont transmises de génération en génération.
habituel,habitual,Il suit sa routine habituelle chaque matin.
allumette,match,J'ai besoin d'une allumette pour allumer la bougie.
afin de,in order to,Je travaille dur afin de réussir mes examens.
pouls,pulse,Le médecin a vérifié mon pouls lors de l'examen médical.
business,business,L'entreprise a réussi à développer son business à l'international.
luxe,luxury,La vie dans ce château est synonyme de luxe.
affirmer,to assert,J'affirme que cette décision est juste.
baser,to base,Je base mes conclusions sur des faits précis.
discret,discreet,Il est discret dans sa manière de partager des informations confidentielles.
mentionner,to mention,Je mentionne souvent ce point lors de mes présentations.
muscle,muscle,J'ai senti mon muscle se contracter pendant l'exercice.
tragédie,tragedy,La tragédie grecque continue d’inspirer les dramaturges modernes.
classique,classic,Ce livre est un classique de la littérature.
luire,to shine,Je luis de joie sous le soleil éclatant.
minable,lousy,Ce film est vraiment minable.
chirurgien,surgeon,Le chirurgien a réussi à sauver la vie de son patient lors de l'opération.
enchanter,to enchant,Je vous enchante avec mon nouveau spectacle.
maîtriser,to master,Je maîtrise bien cette compétence.
vexer,to offend,Je ne veux pas vexer mes amis en faisant des remarques désobligeantes.
justifier,justify,Je justifie mes actions devant le conseil.
botter,to kick,Je botte le ballon pendant le match de football.
département,department,Le département d'histoire de l'université organise une conférence sur la Révolution française.
soupçon,suspicion,Elle portait un soupçon d'espoir malgré les mauvaises nouvelles.
religieux,religious,Il a toujours été très religieux dans sa pratique de la foi.
nucléaire,nuclear,L'énergie nucléaire suscite de nombreux débats dans le monde entier.
parcourir,to travel through,Je parcours la ville à pied chaque matin.
filet,fillet,J'ai commandé un filet de poisson ce soir au restaurant.
four,oven,J'ai mis le gâteau dans le four pour le faire cuire.
boiter,to limp,Je boite après m'être foulé la cheville.
enculer,to fuck someone in the ass (vulgar),Je n'encule jamais personne sans raison.
